"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","oz_swing_percent","oz_contact_percent","out_zone_percent","meatball_swing_percent","meatball_percent","pitch_count","iz_contact_percent","in_zone_percent","edge_percent","whiff_percent","swing_percent"
"Acuña Jr., Ronald",660670,2023,735,11.4,10.9,".428",".460",33.6,15.3,55.2,"106.368689571","98.157029125",70.7,22.6,68.2,51,83.7,7.3,2782,85.6,49,40.7,18.7,46.2
"Suárez, Eugenio",553993,2023,694,30.8,10.1,".313",".324",37.7,13.2,43,"100.661115455","94.726665316",65.7,23.6,44.5,50.2,77.4,8.4,2903,75.4,49.8,40.6,32.8,44.5
"Arenado, Nolan",571448,2023,612,16.5,6.7,".327",".320",33,7.3,38.1,"99.311427863","93.760489679",65.5,34.1,64.1,54.1,73.4,7.4,2285,89.4,45.9,42.4,20.2,48.5
"Realmuto, J.T.",592663,2023,540,25.6,6.5,".324",".334",36.2,11.2,43.3,"101.30139764","94.961935393",70.7,30.6,56.3,50.4,78,7.6,2096,81.4,49.6,42.1,26.2,50.5
"Torres, Gleyber",650402,2023,672,14.6,10,".346",".362",37.3,7.9,40.3,"99.649800996","94.055057585",68.9,25.9,64.6,51.5,76.5,7.6,2647,83.7,48.5,42.8,21.8,46.8
"India, Jonathan",663697,2023,529,20.6,9.8,".327",".339",37.2,7.7,38.6,"99.676934286","94.0396352",56.9,19.6,57.3,49.2,67.9,7.5,2205,84.8,50.8,43,22,38.6
"Guerrero Jr., Vladimir",665489,2023,682,14.7,9.8,".340",".378",32.4,11.1,49.2,"104.050992964","96.528144743",74.2,28.8,58.9,52.1,78,7.2,2441,84.7,47.9,41.5,23,50.6
"Chapman, Matt",656305,2023,581,28.4,10.7,".328",".337",32.4,17.1,56.4,"103.539639884","96.813201603",66.6,18.9,54.4,48.8,78.5,8.2,2451,72.8,51.2,42.7,31.1,43.3
"Alonso, Pete",624413,2023,658,22.9,9.9,".346",".368",32.3,14.7,40.1,"102.342134502","95.253955701",61.9,27.4,56.9,52.8,67.2,6.8,2567,82.1,47.2,42.1,26.2,43.7
"Arozarena, Randy",668227,2023,654,23.9,12.2,".347",".351",31.8,12.3,48.4,"102.055211709","95.651873174",61,27.5,60,53.7,72.9,6.8,2679,76.5,46.3,41.6,29.1,43
"Grisham, Trent",663757,2023,555,27.7,13.5,".299",".322",32.8,11.9,40,"100.701927386","94.880503967",60.3,21.6,52.2,48.4,79.1,7.8,2341,76.6,51.6,43.4,28.3,41.6
"Hernández, Enrique",571771,2023,508,19.1,6.7,".282",".272",31,4.5,33.7,"97.831208503","92.980265241",66,27.9,58.6,50.6,79.9,7.6,1964,84.1,49.4,43.1,23.6,46.7
"Walker, Christian",572233,2023,661,19.2,9.4,".351",".339",32.6,11.4,40.4,"100.601281422","94.397470475",71.3,26.1,53.3,50.4,77.6,7.7,2671,81.1,49.6,42.9,26.4,48.6
"Goldschmidt, Paul",502671,2023,687,23.4,12.7,".350",".367",35.6,12,50.8,"102.40959555","95.767792759",61.8,26.5,62.8,50.6,72.4,7.6,2847,76.8,49.4,41.2,27.5,44
"Benintendi, Andrew",643217,2023,621,14.3,8.4,".299",".310",40.9,2.9,27,"95.498075212","91.757391695",70.4,26.6,71.2,48.9,76.7,8,2351,83.8,51.1,43.1,19.3,49
"Drury, Brandon",592273,2023,523,26,4.8,".339",".318",35,11,46.3,"101.80875267","95.132794574",69.2,34.9,51,51.3,82.1,7.1,1963,79.8,48.7,43.1,30.2,51.6
"Bogaerts, Xander",593428,2023,665,16.5,8.4,".343",".318",28.3,6.1,34.6,"98.476149796","93.284202061",59.1,25.2,63.3,48.6,63.7,8.1,2644,86.2,51.4,42.2,20.4,42.6
"Yelich, Christian",592885,2023,632,22.2,12.3,".353",".362",30.4,9.2,50.1,"103.18368722","96.096251589",68.1,24.8,51.6,53.4,84.4,6.5,2559,82.3,46.6,42.4,26.8,45
"Anderson, Tim",641313,2023,524,23.3,5,".260",".279",32.4,2.9,39.4,"99.22965129","93.713640376",71.5,35.3,59.1,49.9,76.7,8.4,1942,82.3,50.1,41.5,25.3,53.5
"Vierling, Matt",663837,2023,530,21.1,8.3,".315",".322",32.2,4.6,42.8,"100.577331105","94.490701519",59.1,28.5,66.2,48.5,72,7.7,2133,86.5,51.5,42.7,19.4,44.3
"Suwinski, Jack",669261,2023,534,32.2,14,".341",".346",34.2,15.7,43.4,"102.173377122","95.316292734",61.1,18.2,44.9,51.6,75,6.8,2281,77.5,48.4,45.2,30.1,39
"Díaz, Elias",553869,2023,526,22.4,6.5,".314",".296",31.2,6.2,38.4,"100.035107459","94.071648482",76.5,36.2,54.5,53.9,81.3,8.1,1984,81,46.1,41,28.4,54.8
"Merrifield, Whit",593160,2023,592,17.1,6.1,".304",".276",37.2,2.4,24.3,"94.880835796","91.453019024",69.8,32.5,69.6,50.1,74.1,8.8,2200,85.1,49.9,43.6,19.5,51.1
"Hernández, Teoscar",606192,2023,678,31.1,5.6,".317",".336",35.2,13.8,49.4,"103.014681476","96.109592578",73,35.2,42.7,51.3,80,6.7,2673,75.2,48.7,42.8,35.8,53.6
"Bell, Josh",605137,2023,617,21.7,10.2,".323",".345",31.3,10.1,43,"101.611186796","94.955559951",70.8,27.8,55.2,53.7,81.5,6.2,2428,82.8,46.3,44.4,25.8,47.7
"Varsho, Daulton",662139,2023,581,23.2,7.7,".293",".302",34.3,7.3,36.1,"99.853027513","94.005486074",70.6,28.1,53.8,48.3,80.7,7.2,2313,81.8,51.7,44.4,24.7,50.1
"Yoshida, Masataka",807799,2023,580,14,5.9,".339",".325",29.5,6.6,40.6,"100.123813246","94.28056556",58.6,27.3,71,48.8,68.6,8.6,2197,86.5,51.2,42.8,18.3,43.3
"Smith, Will",669257,2023,554,16.1,11.4,".345",".350",37.5,6.7,41.6,"99.645654456","94.001340492",67.9,25,72.4,51.8,79.4,7.4,2292,83.8,48.2,43.6,19.5,45.7
"Nootbaar, Lars",663457,2023,503,19.7,14.3,".344",".356",30.8,8.8,37.8,"100.334219085","94.369985457",53.4,17.1,65.7,49.3,67.5,7.6,2074,86.1,50.7,45.2,18.5,35.5
"Candelario, Jeimer",600869,2023,576,22,9.2,".346",".318",36.9,7.9,36.4,"99.185208","93.708029184",68.1,28.3,57.7,52,76.6,5.9,2333,83.9,48,42.6,24.2,47.4
"Perez, Salvador",521692,2023,580,23.3,3.3,".302",".325",38,8.8,44,"101.357412537","94.955683293",77.5,47,56.5,56.8,74.5,7.2,2061,80.3,43.2,37.1,30.2,60.2
"Verdugo, Alex",657077,2023,602,15.4,7.5,".322",".331",35.4,5,37.6,"99.116993728","93.701176864",57.5,22.2,61.8,47,69.3,8.5,2364,91.7,53,44.7,15.6,40.9
"LeMahieu, DJ",518934,2023,562,22.2,10.7,".315",".322",31.6,5.9,43,"100.265359786","94.32212244",54.4,23.1,63.1,48.5,63.8,7.9,2254,87,51.5,44.6,19.7,39.2
"Garcia, Maikel",672580,2023,515,22.3,7.4,".299",".319",36.9,3.9,50.6,"101.538604663","95.500565408",63.6,20.6,66.2,47.7,74.3,8.4,1989,84,52.3,42.6,19.5,43.1
"Seager, Corey",608369,2023,536,16.4,9.1,".419",".412",38,15.2,53.2,"103.543493485","96.785948962",83.6,28.1,44,51.3,95.9,6.6,1846,85.9,48.7,43.4,25,55.1
"Jung, Josh",673962,2023,515,29.3,5.8,".334",".337",41.9,11.9,47.4,"101.620526098","95.373200793",72.7,32.9,52.1,52.4,77.4,7.4,1976,79.4,47.6,41.1,29.7,51.8
"Castellanos, Nick",592206,2023,671,27.6,5.4,".335",".320",36.5,10.3,43.2,"100.3894813","94.419143027",74.6,41,44.6,54.6,86.7,6.2,2427,77.9,45.4,44.4,35.4,56.2
"Betts, Mookie",605141,2023,693,15.4,13.9,".416",".407",42.5,12.4,48.5,"100.865674689","95.28290971",60.3,16.6,53.9,50.9,74.2,7.2,2712,91.8,49.1,41.2,16.7,38.1
"Robert Jr., Luis",673357,2023,595,28.9,5,".358",".350",38,15.4,42.3,"101.844478191","95.05043424",78.1,40.5,45.7,52.7,90.3,6.6,2200,78.6,47.3,41.5,33.5,58.3
"Adames, Willy",642715,2023,638,25.9,11.1,".311",".335",35,12.4,36.5,"99.086365635","93.664258959",71.5,31.8,49.4,54.2,78.1,7.4,2596,79.3,45.8,41.8,31,50
